                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2253,                 4.5085,                 3.8436,                0.34701,                0.06807,                0.01735,                0.00436,                 2.9129,                 3.7325,                  3.453,             0.00023752,             0.00023752,             0.00023752
                      2,                 2.4119,                 3.7325,                 2.8239,                0.41094,                 0.1765,                0.11735,                0.05537,                 2.1886,                 3.4793,                  2.578,             0.00045198,             0.00045198,             0.00045198
                      3,                 1.9696,                 3.0609,                  2.315,                0.70991,                0.17072,                0.23274,                0.12737,                  1.978,                 2.7942,                 2.3061,             0.00064288,             0.00064288,             0.00064288
                      4,                 1.8193,                 2.7205,                 2.1253,                0.37198,                0.27947,                0.29438,                0.17625,                 1.8317,                 2.5484,                 2.1545,             0.00060797,             0.00060797,             0.00060797
                      5,                 1.7202,                 2.4982,                 2.0091,                0.43758,                 0.3559,                0.35006,                0.21998,                 1.7309,                 2.2404,                  2.023,             0.00057263,             0.00057263,             0.00057263
                      6,                 1.6235,                  2.311,                 1.9184,                0.59773,                0.39326,                0.40956,                 0.2656,                 1.6585,                 2.0869,                  1.962,             0.00053728,             0.00053728,             0.00053728
                      7,                 1.5634,                 2.2001,                 1.8602,                0.55559,                 0.4237,                0.43643,                 0.2774,                 1.6113,                 1.9896,                 1.8784,             0.00050194,             0.00050194,             0.00050194
                      8,                 1.5146,                 2.0974,                 1.8084,                0.52942,                0.45369,                0.46814,                0.31401,                 1.5075,                 1.9253,                 1.8114,              0.0004666,              0.0004666,              0.0004666
                      9,                 1.4758,                 2.0205,                 1.7719,                0.59803,                0.42583,                0.47002,                0.31585,                 1.4822,                 1.9202,                 1.7984,             0.00043126,             0.00043126,             0.00043126
                     10,                 1.4347,                 1.9431,                 1.7371,                0.59487,                0.47513,                0.48622,                0.32742,                 1.4428,                 1.8972,                 1.7381,             0.00039591,             0.00039591,             0.00039591
                     11,                 1.3904,                 1.8458,                 1.7187,                0.62228,                0.48726,                0.51714,                0.35113,                 1.3938,                 1.7256,                 1.7037,             0.00036057,             0.00036057,             0.00036057
                     12,                 1.3375,                 1.7372,                 1.6753,                0.65144,                0.48273,                0.52049,                0.36312,                 1.3304,                 1.7122,                 1.6331,             0.00032523,             0.00032523,             0.00032523
                     13,                 1.2955,                 1.6771,                 1.6389,                0.64398,                0.49869,                0.54131,                0.38017,                 1.3064,                 1.5947,                 1.6065,             0.00028988,             0.00028988,             0.00028988
                     14,                 1.2692,                 1.6133,                 1.6154,                0.67425,                0.49939,                0.55622,                0.39614,                 1.2688,                 1.5401,                 1.5901,             0.00025454,             0.00025454,             0.00025454
                     15,                  1.245,                 1.5621,                 1.5829,                0.65171,                0.52692,                0.56023,                0.40041,                  1.259,                 1.5532,                   1.57,              0.0002192,              0.0002192,              0.0002192
                     16,                 1.2219,                 1.5233,                 1.5592,                 0.6362,                0.52462,                0.55818,                0.40437,                 1.2369,                 1.5462,                 1.5507,             0.00018385,             0.00018385,             0.00018385
                     17,                   1.19,                 1.4788,                 1.5408,                0.65882,                0.53923,                0.58204,                0.42003,                 1.1955,                 1.4498,                 1.5255,             0.00014851,             0.00014851,             0.00014851
                     18,                 1.1753,                 1.4463,                 1.5284,                0.66525,                0.55715,                  0.584,                 0.4271,                 1.1942,                 1.4463,                 1.5191,             0.00011317,             0.00011317,             0.00011317
                     19,                 1.1541,                 1.3977,                 1.5068,                0.66535,                0.55492,                 0.5877,                0.43079,                 1.1713,                 1.4225,                 1.5052,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                 1.1373,                 1.3753,                 1.4934,                0.66127,                0.57042,                0.59456,                0.43861,                  1.157,                 1.3977,                 1.4909,             4.2483e-05,             4.2483e-05,             4.2483e-05
